"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/pr12070"	"MARIO"	"FERRARA"	"18920905"	"19560119"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr2342"	"ENRICO"	"FERRARI"	"18870527"	"19690112"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr201314"	"ORESTE"	"FERRARI"	"18900505"	"19620210"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12071"	"CLAUDIO"	"FERRI"	"18960807"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27870"	"GIUSEPPE"	"FILIPPINI"	"18790221"	"19720129"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12072"	"MARIO"	"FLORIO"	"19040707"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr10791"	"BRUNO"	"FORTICHIARI"	"18920208"	"19810104"	"true"
"http://dati.camera.it/ocd/persona.rdf/p25960"	"VITTORIO"	"FOSSOMBRONI"	"18920903"	"19630806"	"true"
"http://dati.camera.it/ocd/persona.rdf/p303313"	"ALFREDO"	"FRASSATI"		"19610521"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12073"	"GIANCARLO"	"FRE"	"18940527"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12074"	"FABIO"	"FRIGGERI"	"18841103"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12075"	"ARTURO"	"FRINZI"	"18750301"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12076"	"FOSCO"	"FRIZZI"	"19010815"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25990"	"GIUSEPPE"	"FUSCHINI"	"18830924"	"19490710"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27910"	"GIUSEPPE"	"FUSCO"	"18850105"	"19570610"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12077"	"CESARE"	"GABRIELE"	"18891220"		"true"
